timestamp,temperature,humidity,current,rpm,vibration,status
17-42-05,32.0,36.0,0.212,0.0,2.704,anomaly
17-42-11,32.0,36.0,0.217,0.0,2.636,anomaly
17-42-17,32.0,36.0,0.199,0.0,2.713,anomaly
17-42-22,32.0,35.0,0.243,0.0,2.72,anomaly
17-42-28,32.0,35.0,0.199,0.0,2.726,anomaly
17-42-33,32.0,35.0,0.226,0.0,2.683,anomaly
17-42-38,32.0,35.0,0.23,0.0,2.692,anomaly
19-06-48,,,0.352,0.0,2.752,anomaly
19-06-54,32.0,42.0,0.422,0.0,2.745,anomaly
19-07-00,32.0,42.0,0.422,0.0,2.726,anomaly
19-07-05,32.0,42.0,0.452,0.0,2.731,anomaly
19-07-10,32.0,42.0,0.469,0.0,2.735,anomaly
19-07-17,32.0,42.0,0.369,0.0,2.754,anomaly
19-07-22,32.0,42.0,0.456,0.0,2.732,anomaly
19-07-28,32.0,42.0,0.391,0.0,2.751,anomaly
19-07-33,32.0,42.0,0.469,0.0,2.729,anomaly
19-07-38,32.0,42.0,0.339,0.0,2.736,anomaly
19-07-43,32.0,42.0,0.422,0.0,2.754,anomaly
19-07-50,32.0,42.0,0.452,0.0,2.735,anomaly
19-07-55,32.0,42.0,0.422,0.0,2.734,anomaly
19-08-00,32.0,42.0,0.469,0.0,2.748,anomaly
19-14-39,32.0,42.0,0.313,0.0,2.731,anomaly
19-14-45,33.0,41.0,0.395,0.0,2.735,anomaly
19-14-50,33.0,41.0,0.395,0.0,2.748,anomaly
19-14-55,33.0,41.0,0.308,0.0,2.73,anomaly
19-15-00,33.0,40.0,0.282,0.0,2.747,anomaly
19-15-05,33.0,40.0,0.339,0.0,2.754,anomaly
19-15-10,33.0,40.0,0.334,0.0,2.749,anomaly
19-15-16,33.0,40.0,0.339,0.0,2.75,anomaly
19-15-23,33.0,40.0,0.334,0.0,2.734,anomaly
19-15-28,33.0,40.0,0.256,0.0,2.751,anomaly
19-15-33,33.0,40.0,0.369,0.0,2.748,anomaly
19-15-38,33.0,40.0,0.374,0.0,2.739,anomaly
19-15-43,33.0,40.0,0.339,0.0,2.742,anomaly
19-15-49,33.0,41.0,0.3,0.0,2.736,anomaly
19-15-54,33.0,40.0,0.317,0.0,2.753,anomaly
