timestamp,temperature,humidity,current,rpm,vibration,status
10-24-53,,,0.0,0.0,2.27,anomaly
10-25-02,,,0.0,0.0,2.291,anomaly
10-25-17,29.0,45.0,0.308,6570.0,2.246,normal
10-25-29,29.0,45.0,0.369,7755.0,2.294,normal
10-25-39,29.0,45.0,0.326,7470.0,2.262,normal
10-26-07,29.0,45.0,0.069,10155.0,2.264,normal
10-26-14,29.0,45.0,0.382,6780.0,2.263,normal
10-26-19,29.0,45.0,0.308,6795.0,2.275,normal
10-26-26,29.0,45.0,0.173,6780.0,2.27,normal
10-26-31,29.0,45.0,0.0,6765.0,2.272,normal
10-26-36,29.0,45.0,0.326,6780.0,2.27,normal
10-26-42,29.0,45.0,0.395,6780.0,2.274,normal
10-26-57,29.0,45.0,0.0,7080.0,2.262,normal
10-27-02,29.0,45.0,0.212,6705.0,2.24,normal
10-27-08,29.0,45.0,0.369,6735.0,2.251,normal
10-27-13,29.0,45.0,0.53,6645.0,2.285,normal
10-27-18,29.0,45.0,0.069,6795.0,2.277,normal
10-27-25,29.0,45.0,0.548,6750.0,2.243,normal
10-27-30,29.0,45.0,0.295,6660.0,2.24,normal
10-27-36,29.0,45.0,0.239,7575.0,2.285,normal
10-27-41,29.0,45.0,0.648,12045.0,2.257,anomaly
10-27-46,29.0,45.0,0.709,8970.0,2.266,anomaly
10-27-53,29.0,45.0,0.469,5340.0,2.266,normal
10-27-59,29.0,45.0,0.09,4875.0,2.267,normal
10-28-06,29.0,45.0,0.0,0.0,2.295,normal
10-28-11,29.0,45.0,0.0,0.0,2.303,normal
10-28-17,29.0,45.0,0.0,0.0,2.263,normal
10-28-22,29.0,45.0,0.112,0.0,2.291,normal
10-28-27,29.0,45.0,0.056,0.0,2.277,normal
10-28-34,29.0,45.0,0.313,5010.0,2.294,normal
10-28-38,29.0,45.0,0.0,4665.0,2.268,normal
10-28-43,29.0,45.0,0.0,4875.0,2.289,normal
10-28-48,29.0,45.0,0.069,4890.0,2.279,normal
10-28-53,29.0,45.0,0.13,4815.0,2.28,normal
10-29-00,29.0,45.0,0.147,4905.0,2.279,normal
10-29-06,29.0,45.0,0.09,4830.0,2.28,normal
10-29-12,29.0,45.0,0.0,4860.0,2.3,normal
10-29-17,29.0,45.0,0.0,4740.0,2.277,normal
10-29-23,29.0,45.0,0.0,4590.0,2.282,normal
10-29-28,29.0,45.0,0.234,4725.0,2.299,normal
10-29-35,29.0,45.0,0.21,4755.0,2.296,normal
